neighborhood,price,city
Hamilton Heights,"$1,000",roomi nyc
Upper Manhattan,"$3,990",roomi nyc
Fort Greene,$975,roomi nyc
Upper Manhattan,"$1,375",roomi nyc
Upper West Side,$900,roomi nyc
Woodside,"$1,200",roomi nyc
Upper Manhattan,"$1,375",roomi nyc
Upper Manhattan,$856,roomi nyc
Upper Manhattan,"$1,175",roomi nyc
Ridgewood,"$1,750",roomi nyc
Upper Manhattan,"$1,750",roomi nyc
Crown Heights,"$1,500",roomi nyc
Columbus,$700,roomi nyc
Bedford-Stuyvesant,$800,roomi nyc
East Williamsburg,"$1,174",roomi nyc
West Bronx,"$1,100",roomi nyc
StuyTown,"$1,550",roomi nyc
Upper East Side,"$1,250",roomi nyc
Upper Manhattan,"$2,000",roomi nyc
Bedford-Stuyvesant,"$1,200",roomi nyc
Bay Ridge,"$1,215",roomi nyc
Bay Ridge,"$1,250",roomi nyc
Bay Ridge,"$1,500",roomi nyc
Williamsburg,"$1,200",roomi nyc
Upper Manhattan,"$1,000",roomi nyc
Bushwick,"$1,200",roomi nyc
Upper Manhattan,"$1,150",roomi nyc
Crown Heights,"$1,200",roomi nyc
Manor Heights,$775,roomi nyc
Windsor Terrace,"$1,250",roomi nyc
Crown Heights,$900,roomi nyc
East Bronx,$700,roomi nyc
Prospect Lefferts Gardens,"$1,650",roomi nyc
Upper Manhattan,"$1,750",roomi nyc
Lower Manhattan,"$1,600",roomi nyc
Upper Manhattan,"$2,100",roomi nyc
Hamilton Heights,$875,roomi nyc
Astoria,"$1,000",roomi nyc
East Village,$999,roomi nyc
White Plains,"$1,000",roomi nyc
Bushwick,"$1,300",roomi nyc
Greenwich Village,"$1,010",roomi nyc
Bushwick,"$1,100",roomi nyc
Bedford-Stuyvesant,"$1,200",roomi nyc
Midtown,"$1,875",roomi nyc
Bedford-Stuyvesant,"$1,075",roomi nyc
Brooklyn Heights,$900,roomi nyc
Bedford-Stuyvesant,"$1,000",roomi nyc
East Williamsburg,"$1,100",roomi nyc
Midtown,$800,roomi nyc
Upper Manhattan,"$1,300",roomi nyc
Upper East Side,"$1,500",roomi nyc
Bedford-Stuyvesant,"$3,200",roomi nyc
Long Island City,$950,roomi nyc
Upper East Side,"$1,425",roomi nyc
Upper Manhattan,"$1,000",roomi nyc
Upper Manhattan,"$1,300",roomi nyc
Bowery,"$1,850",roomi nyc
Union City,"$1,250",roomi nyc
East Williamsburg,$892,roomi nyc
Lincoln Square,"$2,150",roomi nyc
Flushing,$950,roomi nyc
Bedford-Stuyvesant,"$1,000",roomi nyc
Flatbush - Ditmas Park,"$1,700",roomi nyc
Upper Manhattan,$775,roomi nyc
Crown Heights,"$1,500",roomi nyc
West Bronx,"$1,800",roomi nyc
West Midwood,"$1,275",roomi nyc
Ossining,"$2,255",roomi nyc
Upper Manhattan,"$1,300",roomi nyc
Greenpoint,"$1,675",roomi nyc
Downtown Brooklyn,"$1,375",roomi nyc
East Williamsburg,"$1,500",roomi nyc
Williamsburg,"$1,450",roomi nyc
Upper Manhattan,"$1,400",roomi nyc
Hell's Kitchen,$950,roomi nyc
Hoboken,"$1,700",roomi nyc
Williamsburg,"$1,250",roomi nyc
Greenpoint,"$1,000",roomi nyc
Upper West Side,"$1,200",roomi nyc
Midtown,"$1,200",roomi nyc
Midtown,"$1,400",roomi nyc
Hoboken,"$1,200",roomi nyc
Bedford-Stuyvesant,"$1,132",roomi nyc
Bedford-Stuyvesant,"$1,000",roomi nyc
Bushwick,$650,roomi nyc
Bushwick,$750,roomi nyc
